xx,xxxx,xxxxxx,xxxxxxxxxxxxxxxx,xxxxxxxx,xxxxxx,xxx,xxx,xx,xxxxxxxx
M20,6514,Sagittarius,Diffuse nebula,18h 2.6m,-23d 2',9,29x27,!!,spec: O7 - Trifid Nebula
M21,6531,Sagittarius,Open cluster,18h 4.6m,-22d 30',5.9,13,*,number: 70 - M20 in field
M22,6656,Sagittarius,Globular cluster,18h 36.4m,-23d 54',5.1,17.3,!!,VII - one of finest GCs
M23,6494,Sagittarius,Open cluster,17h 56.8m,-19d 1',5.5,27,*,number: 150
M24,6603,Sagittarius,Open cluster,18h 16.9m,-18d 29',4.6,4,*,number: 50 - star cloud
M25,IC4725,Sagittarius,Open cluster,18h 31.6m,-19d 15',4.6,32,*,number: 30 - open cloud
M26,6694,Scutum,Open cluster,18h 45.2m,-9d 24',8,15,*,number: 30
M27,6853,Vulpecula,Planetary nebula,19h 59.6m,22d 43',7.6,8x4,!!,Dumbbell Nebula
M28,6626,Sagittarius,Globular cluster,18h 24.5m,-24d 52',6.9,6,!,IV
M29,6913,Cygnus,Open cluster,20h 23.9m,38d 32',6.6,7,*,number: 50
M30,7099,Capricornus,Globular cluster,21h 40.4m,-23d 11',7.5,5.7,!,V
M31,224,Andromeda,Spiral galaxy,0h 42.7m,41d 16',4.8,160x40,!!!,Sb - Andromeda Galaxy
M32,221,Andromeda,Elliptical galaxy,0h 42.7m,40d 52',8.7,3.6x3.1,*,E0 - companion of M31
M33,598,Triangulum,Spiral galaxy,1h 33.9m,30d 39',6.3,60x35,!!,Sc - Pinwheel Galaxy
M34,1039,Perseus,Open cluster,2h 42m,42d 47',5.5,35,*,number: 60
M35,2168,Gemini,Open cluster,6h 8.9m,24d 20',5.3,28,*,number: 200
M36,1960,Auriga,Open cluster,5h 36.1m,34d 8',6,12,*,number: 60
M37,2099,Auriga,Open cluster,5h 52.4m,32d 33',5.6,24,!,number: 150
M38,1912,Auriga,Open cluster,5h 28.7m,35d 50',6.4,21,*,number: 100
M39,7092,Cygnus,Open cluster,21h 32.2m,48d 26',4.6,32,*,number: 30
M40,WNC 4,Ursa Major,Double star,12h 22.4m,58d 5',9.1,50,*,Winnnecke
M41,2287,Canis Major,Open cluster,6h 47m,-20d 44',4.6,38,*,number: 80
M42,1976,Orion,Diffuse nebula,5h 35.4m,-5d 27',2.9,66x60,!!!,Great Orion Nebula
M43,1982,Orion,Diffuse nebula,5h 35.6m,-5d 16',6.9,20x15,*,detached portion of M42
M44,2632,Cancer,Open cluster,8h 40.1m,19d 59',3.1,95,!!,Praesepe - Beehive Clustr
M45,,Taurus,Open cluster,3h 47m,24d 7',1.2,110,*,nmber: 130 - The Pleiades
M46,2437,Puppis,Open cluster,7h 41.8m,-14d 49',6.1,27,!,n:100 - NGC 2438 in field
M47,2422,Puppis,Open cluster,7h 36.6m,-14d 30',4.5,30,*,number: 30
M48,2548,Hydra,Open cluster,8h 13.8m,-5d 48',5.8,54,*,number: 80
M49,4472,Virgo,Elliptical galaxy,12h 29.8m,8d 0',8.4,4.0x3.4,*,E4
M50,2323,Monoceros,Open cluster,7h 3.2m,-8d 20',5.9,10.0x5.5,*,number: 80
M51,5194,Canes Venatici,Spiral galaxy,13h 29.9m,47d 12',8.4,10.0x5.5,!!,Sc - Whirlpool Galaxy
M52,7654,Cassiopeia,Open cluster,23h 24.2m,61d 35',6.9,13,*,number: 100
M53,5024,Coma Berenices,Globular cluster,13h 12.9m,18d 10',7.7,3.3,*,V
M54,6715,Sagittarius,Globular cluster,18h 55.1m,-30d 29',7.7,6,*,III
M55,6809,Sagittarius,Globular cluster,19h 40m,-30d 58',7,15,*,XI
M56,6779,Lyra,Globular cluster,19h 16.6m,30d 11',8.3,1.8,*,X
